centroid_mean,centroid_std,centroid_min,centroid_max,centroid_delta,centroid_q25,centroid_q75,centroid_iqr,file_name,label
2377.0578218782302,203.24964679423138,1962.1357677154379,3639.686883025867,1677.551115310429,2243.5467669278423,2495.872024153101,252.3252572252586,00000000.wav,Normal
2615.9766317047156,163.01238678543888,2204.683950385517,3477.425155342175,1272.7412049566578,2504.8405039784143,2701.621416967356,196.7809129889415,00000001.wav,Normal
2420.4518207887318,221.4443487412368,1879.4462254116552,3125.5823530768866,1246.1361276652315,2277.6260439545126,2554.6813283262823,277.05528437176963,00000002.wav,Normal
2640.5605903859782,143.98109034661633,2293.331119222344,3325.8924437061523,1032.5613244838082,2548.8011697840348,2723.995982539627,175.19481275559247,00000003.wav,Normal
2363.7873525779246,161.88521439903272,2017.3502982268942,3058.5609096293138,1041.2106114024195,2262.9409596382575,2441.204919689177,178.26396005091965,00000004.wav,Normal
2610.7975455789783,165.4753555790561,2077.3549861770703,3103.0089623569097,1025.6539761798394,2517.9597843708875,2698.4132172573964,180.45343288650884,00000005.wav,Normal
2339.569536094821,178.14121867918502,1985.4435607106957,3121.951644098978,1136.508083388282,2208.199528619346,2439.3587845183047,231.1592558989587,00000006.wav,Normal
2417.452419581281,179.85523335204113,2025.7186805727372,3076.4905034428693,1050.7718228701322,2299.6180608165414,2513.131235998671,213.51317518212954,00000007.wav,Normal
2677.621959904908,150.75600463633393,2270.154174105457,3193.7764592436506,923.6222851381935,2574.3532447410616,2764.6892408233584,190.3359960822968,00000008.wav,Normal
2616.637527413679,156.01228082252612,2217.05933304321,3276.0217262753886,1058.9623932321788,2524.595521076492,2679.410635804331,154.81511472783905,00000009.wav,Normal
2465.1905732626005,185.33931742093648,1917.244033616612,3061.8185463542036,1144.5745127375917,2349.0509816037957,2571.153277164491,222.10229556069544,00000010.wav,Normal
2650.0136641870085,169.4017253340623,2104.1126683081757,3469.1479297396486,1365.035261431473,2540.4834405716483,2755.321563511302,214.83812293965366,00000011.wav,Normal
2386.546035615995,212.77484910449292,1915.2423333621514,3026.7495394226244,1111.507206060473,2234.2795594433082,2535.2859594993047,301.00640005599644,00000012.wav,Normal
2575.418908265983,194.47586070462222,2236.182731270901,3601.3019534263294,1365.1192221554284,2444.434548692257,2659.369393659659,214.9348449674021,00000013.wav,Normal
2409.4939651328127,207.55335904758172,1870.1936720666622,3410.5449398909686,1540.3512678243064,2257.9271907081875,2504.656811003684,246.72962029549672,00000014.wav,Normal
2404.2338263592083,227.8651729510082,1887.732423615148,3168.798717878758,1281.06629426361,2231.7597755344564,2548.329919235497,316.5701437010407,00000015.wav,Normal
2356.1294250544383,205.7212896701473,1949.9217170483973,3297.9234993719047,1348.0017823235073,2205.2727047929893,2475.7332851180536,270.46058032506426,00000016.wav,Normal
2416.9445749487913,191.77268928252823,1970.5480194619226,3355.563941035115,1385.0159215731924,2287.9776054335534,2510.0795933077006,222.1019878741472,00000017.wav,Normal
2601.4645049372407,171.8833021285953,2165.738003793777,3217.652095434687,1051.91409164091,2480.9336205096174,2708.486000944447,227.5523804348295,00000018.wav,Normal
2707.3038803764543,210.39943632121015,2267.0943287771215,3509.454634145016,1242.3603053678944,2577.2915788570003,2788.801131702357,211.50955284535667,00000019.wav,Normal
2611.360528056808,167.14311461795396,2184.933741206919,3396.166809930058,1211.2330687231392,2502.6341832458174,2695.417260362319,192.78307711650177,00000020.wav,Normal
2647.3708257539406,140.99281001923998,2218.300044413212,3232.1774875498477,1013.8774431366355,2547.9216701571377,2729.736999855895,181.81532969875752,00000021.wav,Normal
2640.9483541253694,167.87566820940867,2271.408459895042,3229.583121671098,958.1746617760559,2529.3169915086937,2727.9375991268753,198.62060761818157,00000022.wav,Normal
2357.0869196683875,199.88577869952212,1862.9605378689432,3279.874434171063,1416.9138963021198,2218.5019349704085,2479.9682931700036,261.4663581995951,00000023.wav,Normal
2624.594263145644,176.5388968505135,2041.510631296056,3251.3742028565816,1209.8635715605255,2514.0325599051466,2728.257296256089,214.2247363509423,00000024.wav,Normal
2396.398280478388,233.8603091074349,1983.368413614329,3658.4895969557747,1675.1211833414457,2231.6276304061857,2515.5279372286113,283.9003068224256,00000025.wav,Normal
